pato_id	label	parent_pato_ids	parent_labels	temporary_flopo_id	examples
PATO:0104032	leathery	PATO:0000150	texture	FLOPO_0980115	Capparis cartilaginea: thick leathery leaves || Nitraria retusa: leathery bluish leaves || Plicosepalus acaciae: oval leathery leaves || Solenostemma oleifolium: leathery bluish leaves
PATO:0104033	deep crimson	PATO:0000322	red	FLOPO_0980116	Caralluma shadhbana var. barhana: deep crimson glabrous flowers || Paracaryum cf. rugulosum: deep crimson flowers || Scrophularia hypericifolia: deep crimson and white flowers || Teucrium yemense: deep crimson flowers
PATO:0104034	pale cream	PATO:0000323|PATO:0000324	white|yellow	FLOPO_0980117	Ceropegia sp. aff. arabica: pale cream flowers || Commiphora sp. aff. erythraea: pale cream flowers || Eulophia petersii: Large pale cream crowded pseudobulbs || Heliotropium arbainense: pale cream flowers 5 mm wide
PATO:0104035	pendent	PATO:0000133	orientation	FLOPO_0980118	Datura fastuosa: pale green warty pendent fruits || Datura innoxia: very spiny pendent fruits || Ipomoea sinensis ssp. blepharosepala: Pendent fruits || Limeum arabicum: Pendent fruits enclosed within the calyx
PATO:0104036	pale scarlet	PATO:0000322	red	FLOPO_0980119	Indigofera articulata: pale scarlet flowers || Indigofera spinosa: pale scarlet flowers || Indigofera tritoides: pale scarlet flowers || Papaver dubium: pale scarlet flowers
PATO:0104037	soft-spiny	PATO:0000387|PATO:0001365	soft|spiny	FLOPO_0980120	Medicago minima: soft-spiny fruits || Rhanterium eppaposum: soft-spiny involucre || Sida spinosa: small soft-spiny stipules || Tarchonanthus camphoratus: soft-spiny pale yellow flowers
PATO:0104038	pale bluish lilac	PATO:0000318|PATO:0001943	blue|lilac	FLOPO_0980121	Achillea biebersteinii: pale bluish lilac flowers || Convolvulus hystrix: pale bluish lilac flowers || Orobanche ramosa: pale bluish lilac flowers
PATO:0104039	feathery	PATO:0000150	texture	FLOPO_0980122	Achillea biebersteinii: feathery grey-green leaves || Artemisia abyssinica: with feathery leaves || Asemi-prostrate densely leafy herb with stems: very feathery
PATO:0104040	deeply lobed palmate	PATO:0001979|PATO:0000052	lobed|shape	FLOPO_0980123	Althaea ludwigii: deeply lobed palmate leaves || Corallocarpus epigeus: deeply lobed palmate leaves || Croton lobatus: large deeply lobed palmate leaves
PATO:0104041	velvety	PATO:0000150	texture	FLOPO_0980124	An erect bushy leafy shrublet: grey-green velvety leaves || Chorispora purpurascens: velvety lobed leaves || Leucas inflata: inflated velvety calyx
PATO:0104042	pale pinkish lilac	PATO:0000954|PATO:0001943	pink|lilac	FLOPO_0980125	Androsace maxima: large pale pinkish lilac flowers || Valerianella dufresnia: pale pinkish lilac flowers || Valerianella szovitsiana: pale pinkish lilac flowers
PATO:0104043	very slender	PATO:0000592	decreased thickness	FLOPO_0980126	Argyrolobium sp. aff. arabicum: very slender-stemmed || Juncus bufonius: very slender leaves || Silene linearis: very slender-stemmed
PATO:0104044	blackish	PATO:0000317	black	FLOPO_0980127	Astragalus trachoniticus: hairy blackish calyx || Pycreus sanguinolentus: blackish flowers || Trachyspermum ammi: blackish anthers
PATO:0104045	deep magenta	PATO:0000321	magenta	FLOPO_0980128	Boerhavia coccinea: deep magenta flowers || Digera muricata: deep magenta flowers || Erodium glaucophyllum: deep magenta flowers
PATO:0104046	deeply lobed	PATO:0001979	lobed	FLOPO_0980129	Cakile arabica: deeply lobed leaves || Conyza stricta: deeply lobed leaves || Senecio glaucus: slender deeply lobed leaves
